STAFF ASSIGNED/OFFICE,LOCATION,ASSET TYPE,MODEL,SERIAL NO.,ASSET TAG,YEAR OF ACQUISITION,STATUS,
4TH FLOOR - ICT SWITCH ROOM,4TH FLOOR - ICT SWITCH ROOM,Access Point,AP4051DN,21500830893GK7000267,KUCCPS:CO: 19:498,2019,ACTIVE-IN USE, 
CALL CENTRE,CALL CENTRE,Access Point,UAP,5CD2127T22,KUCCPS:CO:19:729,2015,ACTIVE-IN USE,
CEO'S OFFICE,CEO'S OFFICE,Access Point,UAP-LR,1223L002722E8BD48,KUCCPS:CO:19:726,2015,ACTIVE-IN USE,
CEO'S PA OFFICE,CEO'S PA OFFICE,Access Point,UAP,1635K802AA8F687DA-Loyfwh,KUCCPS:CO:19:724,2015,ACTIVE-IN USE,
EXECUTIVE OPERATION OFFICE,EXECUTIVE OPERATION OFFICE,Access Point,AP4051DN,21500830893GK7000347,KUCCPS:CO: 19:500,2019,ACTIVE-IN USE,
FINANCE RECEPTION,FINANCE RECEPTION,Access Point,AP4051DN,21500830893GK7000284,KUCCPS:CO: 19:495,2019,ACTIVE-IN USE,
ICT OFFICE - 3RD FLOOR CORRIDOR,ICT OFFICE - 3RD FLOOR,Access Point,AP4051DN,21500830893GK7000271,KUCCPS:CO: 19:499,2019,ACTIVE-IN USE,
OPS WING -OPS OFFICE,OPS WING -OPS OFFICE,Access Point,AP4051DN,21500830893GK7000431,KUCCPS:CO: 19:497,2019,ACTIVE-IN USE,
OPS WING CORRIDOR ,OPS WING CORRIDOR ,Access Point,AP4051DN,21500830893GK7000337,KUCCPS:CO: 19:496,2019,ACTIVE-IN USE,
4TH FLOOR Corridor - Access Point,4TH FLOOR CORRIDOR,Access Point,UAP-AC-PRO,2108GF492BF0249F1-cIIUAt,KUCCPS:CO:19:908,2019,ACTIVE-IN USE,
OPERATIONS WING -OPS OFFICE,OPERATIONS WING -OPS OFFICE,Access Point,UAP,1636sckfK802AA8F6F7C9-mg,KUCCPS:CO:15:893,2015,ACTIVE-IN USE,
GROUND FLOOR RECEPTION AREA,GROUND FLOOR RECEPTION AREA,Access Point,Fortinet 421E,FP421ETF20002895,KUCCPS:CO:21:926,2021,ACTIVE-IN USE,
3RD FLOOR RECEPTION AREA,3RD FLOOR RECEPTION AREA,Access Point,Fortinet 421E,FP421ETF20002843,KUCCPS:CO:21:927,2021,ACTIVE-IN USE,
OPERATIONS BOARD ROOM,OPERATIONS BOARD ROOM,Access Point,Fortinet 421E,FP421ETF20002840,KUCCPS:CO:21:1106,2021,ACTIVE-IN USE,
Executive Board Room,Executive Board Room,Access Point,Fortinet 421E,FP421ETF20002836,KUCCPS:CO:21:928,2021,ACTIVE-IN USE,
