name;serial;otherserial;manufacturers_id;computertypes_id;computermodels_id;states_id;locations_id;comment
KUCCPS:CO: 19:498;21500830893GK7000267;KUCCPS:CO: 19:498;;Access Point;AP4051DN;In use;4TH FLOOR - ICT SWITCH ROOM;4TH FLOOR - ICT SWITCH ROOM | Acquired: 2019
KUCCPS:CO:19:729;5CD2127T22;KUCCPS:CO:19:729;;Access Point;UAP;In use;CALL CENTRE;CALL CENTRE | Acquired: 2015
KUCCPS:CO:19:726;1223L002722E8BD48;KUCCPS:CO:19:726;;Access Point;UAP-LR;In use;CEO'S OFFICE;CEO'S OFFICE | Acquired: 2015
KUCCPS:CO:19:724;1635K802AA8F687DA-Loyfwh;KUCCPS:CO:19:724;;Access Point;UAP;In use;CEO'S PA OFFICE;CEO'S PA OFFICE | Acquired: 2015
KUCCPS:CO: 19:500;21500830893GK7000347;KUCCPS:CO: 19:500;;Access Point;AP4051DN;In use;EXECUTIVE OPERATION OFFICE;EXECUTIVE OPERATION OFFICE | Acquired: 2019
KUCCPS:CO: 19:495;21500830893GK7000284;KUCCPS:CO: 19:495;;Access Point;AP4051DN;In use;FINANCE RECEPTION;FINANCE RECEPTION | Acquired: 2019
KUCCPS:CO: 19:499;21500830893GK7000271;KUCCPS:CO: 19:499;;Access Point;AP4051DN;In use;ICT OFFICE - 3RD FLOOR;ICT OFFICE - 3RD FLOOR | Acquired: 2019
KUCCPS:CO: 19:497;21500830893GK7000431;KUCCPS:CO: 19:497;;Access Point;AP4051DN;In use;OPS WING -OPS OFFICE;OPS WING -OPS OFFICE | Acquired: 2019
KUCCPS:CO: 19:496;21500830893GK7000337;KUCCPS:CO: 19:496;;Access Point;AP4051DN;In use;OPS WING CORRIDOR;OPS WING CORRIDOR | Acquired: 2019
KUCCPS:CO:19:908;2108GF492BF0249F1-cIIUAt;KUCCPS:CO:19:908;;Access Point;UAP-AC-PRO;In use;4TH FLOOR CORRIDOR;4TH FLOOR CORRIDOR | Acquired: 2019
KUCCPS:CO:15:893;1636sckfK802AA8F6F7C9-mg;KUCCPS:CO:15:893;;Access Point;UAP;In use;OPERATIONS WING -OPS OFFICE;OPERATIONS WING -OPS OFFICE | Acquired: 2015
KUCCPS:CO:21:926;FP421ETF20002895;KUCCPS:CO:21:926;;Access Point;Fortinet 421E;In use;GROUND FLOOR RECEPTION AREA;GROUND FLOOR RECEPTION AREA | Acquired: 2021
KUCCPS:CO:21:927;FP421ETF20002843;KUCCPS:CO:21:927;;Access Point;Fortinet 421E;In use;3RD FLOOR RECEPTION AREA;3RD FLOOR RECEPTION AREA | Acquired: 2021
KUCCPS:CO:21:1106;FP421ETF20002840;KUCCPS:CO:21:1106;;Access Point;Fortinet 421E;In use;OPERATIONS BOARD ROOM;OPERATIONS BOARD ROOM | Acquired: 2021
KUCCPS:CO:21:928;FP421ETF20002836;KUCCPS:CO:21:928;;Access Point;Fortinet 421E;In use;Executive Board Room;Executive Board Room | Acquired: 2021
